query_id,logical_query_id,mode,attempt_index,initiator_worker,source_worker,topic,finalized,latency_seconds,nodes_contacted,max_hop,source_reached,pageindex_calls,pageindex_latency_seconds_total,pageindex_latency_seconds_max,pageindex_latency_seconds_avg,pageindex_latency_count,evidence_count,retrieval_success,not_found,final_failed
xdlihuno-q3::chain_hop::node27::attempt2,xdlihuno-q3::chain_hop::node27,chain_hop,2,node27,node4,Local Education Systems,True,67.75319909397513,2,1,False,2,13.960567593952874,10.515139201976126,6.980283796976437,2,5,True,False,False
mnovuvpz-q1::chain_hop::node17::attempt1,mnovuvpz-q1::chain_hop::node17,chain_hop,1,node17,node6,Local Environmental Issues,True,62.258217467024224,2,1,True,2,11.612427641957765,8.159583215980092,5.806213820978883,2,3,True,False,False
mnovuvpz-q1::chain_hop::node17::attempt2,mnovuvpz-q1::chain_hop::node17,chain_hop,2,node17,node6,Local Environmental Issues,True,68.3587719600182,2,1,True,2,11.637404659006279,8.180129463988123,5.8187023295031395,2,3,True,False,False
mnovuvpz-q2::chain_hop::node17::attempt1,mnovuvpz-q2::chain_hop::node17,chain_hop,1,node17,node6,Local Environmental Issues,True,60.16831350402208,4,3,True,4,23.231735935958568,8.171011406986509,5.807933983989642,4,0,False,True,False
mnovuvpz-q2::chain_hop::node17::attempt2,mnovuvpz-q2::chain_hop::node17,chain_hop,2,node17,node6,Local Environmental Issues,True,60.065222150995396,4,3,True,4,23.194107389979763,8.153846925997641,5.798526847494941,4,0,False,True,False
mnovuvpz-q3::chain_hop::node7::attempt1,mnovuvpz-q3::chain_hop::node7,chain_hop,1,node7,node6,Local Environmental Issues,True,72.31920577498386,3,2,True,3,17.42157713798224,8.151006739994045,5.807192379327414,3,1,True,False,False
mnovuvpz-q3::chain_hop::node7::attempt2,mnovuvpz-q3::chain_hop::node7,chain_hop,2,node7,node6,Local Environmental Issues,True,74.72511387200211,3,2,True,3,17.421949529030826,8.189952109009027,5.807316509676942,3,1,True,False,False
wclueecr-q1::chain_hop::node20::attempt1,wclueecr-q1::chain_hop::node20,chain_hop,1,node20,node8,Local Environmental Issues,True,60.06820111401612,1,0,False,1,3.447108976979507,3.447108976979507,3.447108976979507,1,0,False,True,False
wclueecr-q1::chain_hop::node20::attempt2,wclueecr-q1::chain_hop::node20,chain_hop,2,node20,node8,Local Environmental Issues,True,60.0641576720227,1,0,False,1,3.4460662509955,3.4460662509955,3.4460662509955,1,0,False,True,False
wclueecr-q2::chain_hop::node9::attempt1,wclueecr-q2::chain_hop::node9,chain_hop,1,node9,node8,Local Environmental Issues,True,60.068250576005084,1,0,False,1,8.145688655000413,8.145688655000413,8.145688655000413,1,0,False,True,False
wclueecr-q2::chain_hop::node9::attempt2,wclueecr-q2::chain_hop::node9,chain_hop,2,node9,node8,Local Environmental Issues,True,60.06656480100355,1,0,False,1,8.15243019699119,8.15243019699119,8.15243019699119,1,0,False,True,False
wclueecr-q3::chain_hop::node10::attempt1,wclueecr-q3::chain_hop::node10,chain_hop,1,node10,node8,Local Environmental Issues,True,60.18381786701502,1,0,False,1,1.0938438409939408,1.0938438409939408,1.0938438409939408,1,0,False,True,False
wclueecr-q3::chain_hop::node10::attempt2,wclueecr-q3::chain_hop::node10,chain_hop,2,node10,node8,Local Environmental Issues,True,60.05895221498213,1,0,False,1,3.4562989230034873,3.4562989230034873,3.4562989230034873,1,0,False,True,False
efwdgrkh-q1::chain_hop::node4::attempt1,efwdgrkh-q1::chain_hop::node4,chain_hop,1,node4,node5,Local Environmental Issues,True,66.87980209899251,2,1,True,2,11.703595211001812,8.23883138099336,5.851797605500906,2,4,True,False,False
efwdgrkh-q1::chain_hop::node4::attempt2,efwdgrkh-q1::chain_hop::node4,chain_hop,2,node4,node5,Local Environmental Issues,True,66.51521777900052,2,1,True,2,13.984581663971767,10.540636047982844,6.992290831985883,2,4,True,False,False
efwdgrkh-q2::chain_hop::node6::attempt1,efwdgrkh-q2::chain_hop::node6,chain_hop,1,node6,node5,Local Environmental Issues,True,65.17491206800332,3,2,True,3,24.440138042002218,8.155470136989607,8.146712680667406,3,1,True,False,False
efwdgrkh-q2::chain_hop::node6::attempt2,efwdgrkh-q2::chain_hop::node6,chain_hop,2,node6,node5,Local Environmental Issues,True,65.96715588599909,3,2,True,3,24.4459680840082,8.158059631008655,8.148656028002733,3,1,True,False,False
efwdgrkh-q3::chain_hop::node29::attempt1,efwdgrkh-q3::chain_hop::node29,chain_hop,1,node29,node5,Local Environmental Issues,True,70.33227481300128,3,2,True,3,12.691408810991561,8.15472560498165,4.230469603663853,3,1,True,False,False
